ES_Count_dO,ES_Sum_aaN,ES_Sum_dO,Num_AliphaticDoubleBonds,LogD,QED_HBD,ALogP98,QED_HBA,Molecular_Solubility,QED_ALERTS,ES_Count_dssC,QED_AROM,ES_Sum_sF,ES_Sum_sCH3,ES_Sum_ssNH,Num_H_Donors,O_Count,ES_Sum_ssO,ES_Sum_aaaC,Num_AromaticBonds,SAscore_Complexity,ES_Count_ddssS,ES_Sum_dsN,ES_Count_sOH,QED_PSA,HBD_Count,HBA_Count,Num_H_Acceptors,ES_Count_ssNH,ES_Count_dsN,Num_StereoBonds,ES_Count_aaN,Molecular_PolarSASA,ES_Sum_ddssS,ES_Count_ssS,ES_Sum_sNH2,QED_ROTB,ES_Sum_dssC,ES_Count_sCH3,S_Count,Num_H_Acceptors_Lipinski,ES_Sum_aasC,Molecular_FractionalPolarSurfaceArea,Molecular_FractionalPolarSASA,ES_Sum_ssssC,Apol,Molecular_PolarSurfaceArea,lnROS,quality
4,0,46.089,3,1.992,0.59178,1.992,0.72615,-3.28,0.24139,2,0.82734,0,5.437,0,0,5,5.368,0,6,0.0676025,0,0,0,0.73124,0,3,5,0,0,0,0,139.591,0,0,0,0.96969,-0.572,3,0,8,0.347,0.246,0.254,-0.558,12675.1,95.66,1.397940009,1
1,4.402,10.849,1,1.613,0.98659,1.522,0.93048,-4.073,0.84246,1,0.93773,0,3.483,2.731,1,1,0,0,11,0.0372253,0,0,0,0.94268,1,2,2,1,0,0,1,115.618,0,0,0,0.87038,-0.059,2,1,3,3.916,0.287,0.272,0,10369.6,70.22,3.454387467,1
1,0,11.404,2,3.008,0.37866,2.619,0.9848,-5.387,0.24139,2,0.82734,0,5.48,8.78,3,2,5.123,0,6,0.0536867,0,0,0,0.74297,3,2,3,3,0,0,0,156.748,0,0,0,0.29329,0.136,3,1,5,1.16,0.267,0.288,-0.483,12513.5,94.48,4.714430357,2
2,0,23.169,2,3.924,0.79222,3.924,0.88651,-5.021,0.63972,2,0.82734,36.083,5.168,4.972,2,4,8.721,0,6,0.0640688,0,0,0,0.89958,2,4,4,2,0,0,0,112.566,0,0,0,0.39983,-1.093,3,0,6,-0.243,0.208,0.208,-5.399,11299.9,76.66,4.777702247,2
2,0,23.527,2,2.741,0.79222,2.741,0.9848,-4.969,0.63972,2,0.93773,0,5.433,5.466,2,3,5.184,2.024,11,0.176095,0,0,0,0.95835,2,3,3,2,0,0,0,106.535,0,0,0,0.6885,-0.674,3,0,5,0.734,0.194,0.198,-0.512,12790.8,67.43,4.574569459,1
1,0,11.456,2,4.255,0.37866,3.762,0.9848,-6.327,0.24139,2,0.82734,0,7.391,8.688,3,2,5.128,0,6,0.0571093,0,0,0,0.74297,3,2,3,3,0,0,0,156.748,0,0,0,0.39983,-0.003,4,1,5,2.39,0.251,0.28,-0.505,14005.2,94.48,2.992553518,1
2,8.333,26.294,2,3.712,0.59178,3.806,0.72615,-6.181,0.84246,0,0.25672,38.257,1.896,0,0,2,0,0,16,0.0894773,1,0,0,0.37474,0,4,5,0,0,0,2,187.283,-3.666,0,0,0.84757,0,1,3,6,2.341,0.289,0.279,-4.439,18791.9,131.26,4.453578227,1
3,0,35.94,3,1.6,0.98659,2.125,0.88651,-2.627,0.63972,3,0.47245,0,5.345,2.578,1,4,5.11,0,0,0.169211,0,0,0,0.90657,1,4,4,1,0,0,0,113.412,0,0,0,0.84757,-0.708,3,0,6,0,0.227,0.23,-1,10131.9,75.7,2.69019608,1
3,0,32.587,3,2.411,0.98659,2.511,0.72615,-4.578,0.02659,1,0.82734,0,5.354,2.571,1,4,5.067,0,6,0.0536867,0,4.092,0,0.72272,1,3,5,1,1,1,0,146.78,0,0,0,0.53315,-0.493,3,0,7,0.659,0.286,0.29,-0.532,10908.9,96.51,3.11058971,1
2,4.371,24.999,2,4.475,0.98659,4.567,0.9848,-7.244,0.84246,0,0.25672,0,1.913,2.512,1,2,0,0,16,0.0605705,1,0,0,0.44243,1,3,3,1,0,0,1,197.894,-3.685,0,0,0.96969,0,1,3,4,4.221,0.348,0.343,0,16956.1,123.91,2.091666958,1
